"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 19 16:19:15 CST 2022","Sat Feb 19 16:19:15 CST 2022","157","","test_run","","","","test_case[提交订单-商品数量为空-http://121.42.15.146:9090/mtx/index.php?s=/index/buy/add.html-post-{
""X-Requested-With"":""XMLHttpRequest""
}-{
""data"":{
""goods_id"":8,
""stock"":"""",
""buy_type"":""goods"",
""address_id"":1651,
""payment_id"":1,
""spec"":""[]"",
""user_note"":""""
}
}-200--1-购买数量有误]",""
"passed","Sat Feb 19 16:19:13 CST 2022","Sat Feb 19 16:19:13 CST 2022","188","","test_run","","","","test_case[提交订单成功-货到付款-http://121.42.15.146:9090/mtx/index.php?s=/index/buy/add.html-post-{
""X-Requested-With"":""XMLHttpRequest""
}-{
""data"":{
""goods_id"":8,
""stock"":1,
""buy_type"":""goods"",
""address_id"":1651,
""payment_id"":1,
""spec"":""[]"",
""user_note"":""""
}
}-200-0-提交成功]",""
"passed","Sat Feb 19 16:19:14 CST 2022","Sat Feb 19 16:19:14 CST 2022","178","","test_run","","","","test_case[提交订单-商品已下架-http://121.42.15.146:9090/mtx/index.php?s=/index/buy/add.html-post-{
""X-Requested-With"":""XMLHttpRequest""
}-{
""data"":{
""goods_id"":3,
""stock"":1,
""buy_type"":""goods"",
""address_id"":1651,
""payment_id"":1,
""spec"":""[]"",
""user_note"":""""
}
}-200--10-资源不存在或已被删除]",""
"passed","Sat Feb 19 16:19:16 CST 2022","Sat Feb 19 16:19:16 CST 2022","155","","test_run","","","","test_case[提交订单-地址id不存在-http://121.42.15.146:9090/mtx/index.php?s=/index/buy/add.html-post-{
""X-Requested-With"":""XMLHttpRequest""
}-{
""data"":{
""goods_id"":8,
""stock"":1,
""buy_type"":""goods11"",
""address_id"":370,
""payment_id"":1,
""spec"":""[]"",
""user_note"":""""
}
}-200--1-参数有误]",""
"passed","Sat Feb 19 16:19:14 CST 2022","Sat Feb 19 16:19:14 CST 2022","187","","test_run","","","","test_case[提交订单成功-支付宝-http://121.42.15.146:9090/mtx/index.php?s=/index/buy/add.html-post-{
""X-Requested-With"":""XMLHttpRequest""
}-{
""data"":{
""goods_id"":8,
""stock"":1,
""buy_type"":""goods"",
""address_id"":1651,
""payment_id"":3,
""spec"":""[]"",
""user_note"":""""
}
}-200-0-提交成功]",""
"passed","Sat Feb 19 16:19:13 CST 2022","Sat Feb 19 16:19:13 CST 2022","444","","test_run","","","","test_case[登录接口-http://121.42.15.146:9090/mtx/index.php?s=/index/user/login.html-post-{
""X-Requested-With"":""XMLHttpRequest""
}-{
""data"":{
""accounts"":""shamotest1"",
""pwd"":""123456""
}
}-200-0-登录成功]",""
"passed","Sat Feb 19 16:19:15 CST 2022","Sat Feb 19 16:19:16 CST 2022","155","","test_run","","","","test_case[提交订单-地址id已删除-http://121.42.15.146:9090/mtx/index.php?s=/index/buy/add.html-post-{
""X-Requested-With"":""XMLHttpRequest""
}-{
""data"":{
""goods_id"":8,
""stock"":1,
""buy_type"":""goods11"",
""address_id"":370,
""payment_id"":1,
""spec"":""[]"",
""user_note"":""""
}
}-200--1-参数有误]",""
"passed","Sat Feb 19 16:19:15 CST 2022","Sat Feb 19 16:19:15 CST 2022","179","","test_run","","","","test_case[提交订单-buy_type不支持-http://121.42.15.146:9090/mtx/index.php?s=/index/buy/add.html-post-{
""X-Requested-With"":""XMLHttpRequest""
}-{
""data"":{
""goods_id"":8,
""stock"":1.23,
""buy_type"":""sdds"",
""address_id"":1651,
""payment_id"":1,
""spec"":""[]"",
""user_note"":""""
}
}-200--1-参数有误]",""
"passed","Sat Feb 19 16:19:16 CST 2022","Sat Feb 19 16:19:16 CST 2022","173","","test_run","","","","test_case[提交订单-地址id是别人的-http://121.42.15.146:9090/mtx/index.php?s=/index/buy/add.html-post-{
""X-Requested-With"":""XMLHttpRequest""
}-{
""data"":{
""goods_id"":8,
""stock"":1,
""buy_type"":""goods11"",
""address_id"":34,
""payment_id"":1,
""spec"":""[]"",
""user_note"":""""
}
}-200--1-参数有误]",""
"failed","Sat Feb 19 16:19:15 CST 2022","Sat Feb 19 16:19:15 CST 2022","180","","test_run","","","","test_case[提交订单-商品数量小数-http://121.42.15.146:9090/mtx/index.php?s=/index/buy/add.html-post-{
""X-Requested-With"":""XMLHttpRequest""
}-{
""data"":{
""goods_id"":8,
""stock"":1.23,
""buy_type"":""goods"",
""address_id"":1651,
""payment_id"":1,
""spec"":""[]"",
""user_note"":""""
}
}-200--1-购买数量有误]",""
"passed","Sat Feb 19 16:19:14 CST 2022","Sat Feb 19 16:19:14 CST 2022","155","","test_run","","","","test_case[提交订单-数量为0-http://121.42.15.146:9090/mtx/index.php?s=/index/buy/add.html-post-{
""X-Requested-With"":""XMLHttpRequest""
}-{
""data"":{
""goods_id"":8,
""stock"":0,
""buy_type"":""goods"",
""address_id"":1651,
""payment_id"":1,
""spec"":""[]"",
""user_note"":""""
}
}-200--1-购买数量有误]",""
"passed","Sat Feb 19 16:19:14 CST 2022","Sat Feb 19 16:19:14 CST 2022","188","","test_run","","","","test_case[提交订单-超过库存-http://121.42.15.146:9090/mtx/index.php?s=/index/buy/add.html-post-{
""X-Requested-With"":""XMLHttpRequest""
}-{
""data"":{
""goods_id"":12,
""stock"":9999,
""buy_type"":""goods"",
""address_id"":1651,
""payment_id"":1,
""spec"":""[]"",
""user_note"":""""
}
}-200--1-[12]购买数量超过商品库存数量[9999>0]]",""
"passed","Sat Feb 19 16:19:14 CST 2022","Sat Feb 19 16:19:14 CST 2022","167","","test_run","","","","test_case[提交订单-商品已删除或不存在-http://121.42.15.146:9090/mtx/index.php?s=/index/buy/add.html-post-{
""X-Requested-With"":""XMLHttpRequest""
}-{
""data"":{
""goods_id"":888,
""stock"":1,
""buy_type"":""goods"",
""address_id"":1651,
""payment_id"":1,
""spec"":""[]"",
""user_note"":""""
}
}-200--10-资源不存在或已被删除]",""
"passed","Sat Feb 19 16:19:15 CST 2022","Sat Feb 19 16:19:15 CST 2022","165","","test_run","","","","test_case[提交订单-商品id为空-http://121.42.15.146:9090/mtx/index.php?s=/index/buy/add.html-post-{
""X-Requested-With"":""XMLHttpRequest""
}-{
""data"":{
""goods_id"":"""",
""stock"":1,
""buy_type"":""goods"",
""address_id"":1651,
""payment_id"":1,
""spec"":""[]"",
""user_note"":""""
}
}-200--1-商品id有误]",""
"passed","Sat Feb 19 16:19:14 CST 2022","Sat Feb 19 16:19:15 CST 2022","222","","test_run","","","","test_case[提交订单-数量为-1-http://121.42.15.146:9090/mtx/index.php?s=/index/buy/add.html-post-{
""X-Requested-With"":""XMLHttpRequest""
}-{
""data"":{
""goods_id"":8,
""stock"":-1,
""buy_type"":""goods"",
""address_id"":1651,
""payment_id"":1,
""spec"":""[]"",
""user_note"":""""
}
}-200--1-购买数量有误]",""
"passed","Sat Feb 19 16:19:13 CST 2022","Sat Feb 19 16:19:14 CST 2022","183","","test_run","","","","test_case[提交订单成功-现金支付-http://121.42.15.146:9090/mtx/index.php?s=/index/buy/add.html-post-{
""X-Requested-With"":""XMLHttpRequest""
}-{
""data"":{
""goods_id"":8,
""stock"":1,
""buy_type"":""goods"",
""address_id"":1651,
""payment_id"":2,
""spec"":""[]"",
""user_note"":""""
}
}-200-0-提交成功]",""
